Start of log file. Seed: 1680644221
Day 1: 
ExxonMobil - Price: 100.720001     Price change: 0.720001% 
ExxonMobil - Price: 1087428.250000     Price change: 0.559994% 
Shermin-Williams - Price: 960853.750000     Price change: -0.210002% 
Boeing - Price: 262288.718750     Price change: -0.499999% 
Duke Energy - Price: 824733.625000     Price change: -0.929997% 
UnitedHealth Group - Price: 1157937.000000     Price change: 0.330000% 
JPMorgan Chase - Price: 773204.375000     Price change: -1.390003% 
McDonalds - Price: 3194177.500000     Price change: 3.599997% 
Coca-Cola - Price: 1016106.187500     Price change: -0.300001% 
Microsoft - Price: 843496.312500     Price change: 6.089998% 
AT&T - Price: 1201673.125000     Price change: 4.200004% 
Day 959: 
ExxonMobil - Price: 1093626.625000     Price change: 0.570003% 
Shermin-Williams - Price: 965081.500000     Price change: 0.439999% 
Boeing - Price: 266721.406250     Price change: 1.690003% 
Duke Energy - Price: 832898.500000     Price change: 0.990001% 
UnitedHealth Group - Price: 1164074.125000     Price change: 0.530005% 
JPMorgan Chase - Price: 803127.375000     Price change: 3.869999% 
McDonalds - Price: 3226119.250000     Price change: 0.999999% 
Coca-Cola - Price: 1043236.250000     Price change: 2.670003% 
Microsoft - Price: 858594.875000     Price change: 1.789997% 
AT&T - Price: 1204797.500000     Price change: 0.260002% 
Day 960: 
ExxonMobil - Price: 1103141.125000     Price change: 0.869995% 
Shermin-Williams - Price: 961317.687500     Price change: -0.389999% 
Boeing - Price: 266001.250000     Price change: -0.270003% 
Duke Energy - Price: 834397.687500     Price change: 0.179996% 
UnitedHealth Group - Price: 1197599.500000     Price change: 2.880003% 
JPMorgan Chase - Price: 798388.937500     Price change: -0.589998% 
McDonalds - Price: 3257412.500000     Price change: 0.969997% 
Coca-Cola - Price: 1052208.125000     Price change: 0.860004% 
Microsoft - Price: 845801.812500     Price change: -1.490000% 
AT&T - Price: 1233953.625000     Price change: 2.420002% 
Day 961: 
ExxonMobil - Price: 1122997.625000     Price change: 1.799996% 
Shermin-Williams - Price: 958049.187500     Price change: -0.340002% 
Boeing - Price: 267251.468750     Price change: 0.470005% 
Duke Energy - Price: 841239.750000     Price change: 0.820000% 
UnitedHealth Group - Price: 1216641.375000     Price change: 1.590004% 
JPMorgan Chase - Price: 813638.187500     Price change: 1.910003% 
McDonalds - Price: 3338196.250000     Price change: 2.479998% 
Coca-Cola - Price: 1094086.000000     Price change: 3.979999% 
Microsoft - Price: 853244.875000     Price change: 0.880001% 
AT&T - Price: 1240740.375000     Price change: 0.550000% 
Day 962: 
ExxonMobil - Price: 1123896.000000     Price change: 0.079998% 
Shermin-Williams - Price: 974623.437500     Price change: 1.730000% 
Boeing - Price: 272195.625000     Price change: 1.850002% 
Duke Energy - Price: 839136.625000     Price change: -0.250003% 
UnitedHealth Group - Price: 1240487.500000     Price change: 1.959996% 
JPMorgan Chase - Price: 813150.000000     Price change: -0.060001% 
McDonalds - Price: 3353552.000000     Price change: 0.460001% 
Coca-Cola - Price: 1100212.875000     Price change: 0.559999% 
Microsoft - Price: 853074.250000     Price change: -0.019997% 
AT&T - Price: 1243594.125000     Price change: 0.230004% 
Day 963: 
ExxonMobil - Price: 1146261.500000     Price change: 1.989997% 
Shermin-Williams - Price: 975403.125000     Price change: 0.079999% 
Boeing - Price: 286349.812500     Price change: 5.200006% 
Duke Energy - Price: 861961.125000     Price change: 2.719998% 
UnitedHealth Group - Price: 1218654.875000     Price change: -1.760004% 
JPMorgan Chase - Price: 832421.625000     Price change: 2.369996% 
McDonalds - Price: 3362606.500000     Price change: 0.269997% 
Coca-Cola - Price: 1115725.875000     Price change: 1.410000% 
Microsoft - Price: 859045.750000     Price change: 0.699998% 
AT&T - Price: 1243718.500000     Price change: 0.010001% 
Day 964: 
ExxonMobil - Price: 1144542.125000     Price change: -0.149998% 
Shermin-Williams - Price: 974915.437500     Price change: -0.049999% 
Boeing - Price: 286578.906250     Price change: 0.080005% 
Duke Energy - Price: 881613.812500     Price change: 2.279997% 
UnitedHealth Group - Price: 1223773.250000     Price change: 0.420002% 
JPMorgan Chase - Price: 846323.062500     Price change: 1.670000% 
McDonalds - Price: 3335033.250000     Price change: -0.819996% 
Coca-Cola - Price: 1125990.500000     Price change: 0.919995% 
Microsoft - Price: 909128.125000     Price change: 5.830001% 
AT&T - Price: 1268468.500000     Price change: 1.990000% 
Day 965: 
ExxonMobil - Price: 1189751.500000     Price change: 3.949997% 
Shermin-Williams - Price: 969358.437500     Price change: -0.569998% 
Boeing - Price: 303716.312500     Price change: 5.979996% 
Duke Energy - Price: 968540.937500     Price change: 9.860000% 
UnitedHealth Group - Price: 1217899.125000     Price change: -0.480001% 
JPMorgan Chase - Price: 845222.812500     Price change: -0.130004% 
McDonalds - Price: 3380056.250000     Price change: 1.350002% 
Coca-Cola - Price: 1128242.500000     Price change: 0.200002% 
Microsoft - Price: 898673.125000     Price change: -1.150003% 
AT&T - Price: 1262506.750000     Price change: -0.469996% 
Day 966: 
ExxonMobil - Price: 1190108.375000     Price change: 0.029996% 
Shermin-Williams - Price: 986031.375000     Price change: 1.719997% 
Boeing - Price: 309699.531250     Price change: 1.970002% 
Duke Energy - Price: 940646.937500     Price change: -2.880002% 
UnitedHealth Group - Price: 1246154.375000     Price change: 2.319999% 
JPMorgan Chase - Price: 861366.562500     Price change: 1.909999% 
McDonalds - Price: 3413518.750000     Price change: 0.989998% 
Coca-Cola - Price: 1117072.875000     Price change: -0.990002% 
Microsoft - Price: 891663.500000     Price change: -0.779997% 
AT&T - Price: 1283969.375000     Price change: 1.700001% 
Day 967: 
ExxonMobil - Price: 1193440.625000     Price change: 0.279996% 
Shermin-Williams - Price: 982383.062500     Price change: -0.370000% 
Boeing - Price: 311031.250000     Price change: 0.430003% 
Duke Energy - Price: 965009.687500     Price change: 2.589999% 
UnitedHealth Group - Price: 1250515.875000     Price change: 0.349997% 
JPMorgan Chase - Price: 879283.000000     Price change: 2.080002% 
McDonalds - Price: 3408398.500000     Price change: -0.149999% 
Coca-Cola - Price: 1140754.875000     Price change: 2.120005% 
Microsoft - Price: 913865.937500     Price change: 2.490002% 
AT&T - Price: 1272927.250000     Price change: -0.859999% 
Day 968: 
ExxonMobil - Price: 1215877.250000     Price change: 1.879995% 
Shermin-Williams - Price: 1008023.250000     Price change: 2.609999% 
Boeing - Price: 324809.937500     Price change: 4.430001% 
Duke Energy - Price: 1002645.062500     Price change: 3.900000% 
UnitedHealth Group - Price: 1263396.250000     Price change: 1.030005% 
JPMorgan Chase - Price: 887284.500000     Price change: 0.910003% 
McDonalds - Price: 3500425.250000     Price change: 2.700000% 
Coca-Cola - Price: 1163341.875000     Price change: 1.980005% 
Microsoft - Price: 917612.812500     Price change: 0.410003% 
AT&T - Price: 1284892.750000     Price change: 0.939999% 
Day 969: 
ExxonMobil - Price: 1230711.000000     Price change: 1.220004% 
Shermin-Williams - Price: 1014777.000000     Price change: 0.669999% 
Boeing - Price: 327668.250000     Price change: 0.879995% 
Duke Energy - Price: 1006856.187500     Price change: 0.420002% 
UnitedHealth Group - Price: 1257837.250000     Price change: -0.440004% 
JPMorgan Chase - Price: 897843.187500     Price change: 1.190000% 
McDonalds - Price: 3698549.250000     Price change: 5.659998% 
Coca-Cola - Price: 1156012.875000     Price change: -0.629995% 
Microsoft - Price: 944774.125000     Price change: 2.959997% 
AT&T - Price: 1295043.375000     Price change: 0.789998% 
Day 970: 
ExxonMobil - Price: 1235510.750000     Price change: 0.389998% 
Shermin-Williams - Price: 1003208.562500     Price change: -1.139998% 
Boeing - Price: 333467.968750     Price change: 1.769997% 
Duke Energy - Price: 999506.125000     Price change: -0.730001% 
UnitedHealth Group - Price: 1257082.500000     Price change: -0.060004% 
JPMorgan Chase - Price: 915710.250000     Price change: 1.989998% 
McDonalds - Price: 3782876.250000     Price change: 2.280002% 
Coca-Cola - Price: 1164683.000000     Price change: 0.750002% 
Microsoft - Price: 972833.937500     Price change: 2.970002% 
AT&T - Price: 1302036.625000     Price change: 0.540001% 
Day 971: 
ExxonMobil - Price: 1232792.625000     Price change: -0.220000% 
Shermin-Williams - Price: 1003509.500000     Price change: 0.029998% 
Boeing - Price: 348740.812500     Price change: 4.580003% 
Duke Energy - Price: 1005203.312500     Price change: 0.570000% 
UnitedHealth Group - Price: 1253437.000000     Price change: -0.289997% 
JPMorgan Chase - Price: 939244.000000     Price change: 2.570000% 
McDonalds - Price: 3673551.250000     Price change: -2.889997% 
Coca-Cola - Price: 1173534.625000     Price change: 0.760003% 
Microsoft - Price: 970888.250000     Price change: -0.200002% 
AT&T - Price: 1303338.625000     Price change: 0.099997% 
Day 972: 
ExxonMobil - Price: 1316129.375000     Price change: 6.759997% 
Shermin-Williams - Price: 1057899.750000     Price change: 5.420003% 
Boeing - Price: 358331.187500     Price change: 2.750001% 
Duke Energy - Price: 1052749.375000     Price change: 4.729995% 
UnitedHealth Group - Price: 1283394.125000     Price change: 2.389998% 
JPMorgan Chase - Price: 937647.312500     Price change: -0.169997% 
McDonalds - Price: 3729756.500000     Price change: 1.529998% 
Coca-Cola - Price: 1192898.000000     Price change: 1.650005% 
Microsoft - Price: 968752.312500     Price change: -0.219998% 
AT&T - Price: 1318718.000000     Price change: 1.179998% 
Day 973: 
ExxonMobil - Price: 1324421.000000     Price change: 0.630001% 
Shermin-Williams - Price: 1106880.500000     Price change: 4.629999% 
Boeing - Price: 357292.031250     Price change: -0.289999% 
Duke Energy - Price: 1054223.250000     Price change: 0.140002% 
UnitedHealth Group - Price: 1295458.000000     Price change: 0.939998% 
JPMorgan Chase - Price: 944867.187500     Price change: 0.769999% 
McDonalds - Price: 3742437.750000     Price change: 0.340002% 
Coca-Cola - Price: 1208167.125000     Price change: 1.280003% 
Microsoft - Price: 967589.812500     Price change: -0.120000% 
AT&T - Price: 1336916.250000     Price change: 1.379996% 
Day 974: 
ExxonMobil - Price: 1335148.750000     Price change: 0.809995% 
Shermin-Williams - Price: 1123262.375000     Price change: 1.480004% 
Boeing - Price: 357542.125000     Price change: 0.069997% 
Duke Energy - Price: 1053907.000000     Price change: -0.029998% 
UnitedHealth Group - Price: 1332767.250000     Price change: 2.880005% 
JPMorgan Chase - Price: 939009.000000     Price change: -0.620001% 
McDonalds - Price: 3665717.750000     Price change: -2.050001% 
Coca-Cola - Price: 1235350.875000     Price change: 2.249999% 
Microsoft - Price: 995940.187500     Price change: 2.929999% 
AT&T - Price: 1372879.250000     Price change: 2.689996% 
Day 975: 
ExxonMobil - Price: 1350503.000000     Price change: 1.150003% 
Shermin-Williams - Price: 1096641.000000     Price change: -2.370005% 
Boeing - Price: 367160.000000     Price change: 2.689998% 
Duke Energy - Price: 1050007.500000     Price change: -0.370004% 
UnitedHealth Group - Price: 1311976.125000     Price change: -1.559997% 
JPMorgan Chase - Price: 956756.250000     Price change: 1.889998% 
McDonalds - Price: 3674149.000000     Price change: 0.230003% 
Coca-Cola - Price: 1261416.750000     Price change: 2.109998% 
Microsoft - Price: 971141.250000     Price change: -2.490003% 
AT&T - Price: 1396492.750000     Price change: 1.719998% 
Day 976: 
ExxonMobil - Price: 1340779.375000     Price change: -0.720000% 
Shermin-Williams - Price: 1106510.750000     Price change: 0.899998% 
Boeing - Price: 365838.218750     Price change: -0.360001% 
Duke Energy - Price: 1070272.625000     Price change: 1.929998% 
UnitedHealth Group - Price: 1332705.375000     Price change: 1.580002% 
JPMorgan Chase - Price: 961540.000000     Price change: 0.499997% 
McDonalds - Price: 3641816.500000     Price change: -0.880000% 
Coca-Cola - Price: 1283491.500000     Price change: 1.749997% 
Microsoft - Price: 976579.625000     Price change: 0.559998% 
AT&T - Price: 1437130.750000     Price change: 2.910004% 
Day 977: 
ExxonMobil - Price: 1352980.500000     Price change: 0.910002% 
Shermin-Williams - Price: 1115141.500000     Price change: 0.779997% 
Boeing - Price: 368362.500000     Price change: 0.689999% 
Duke Energy - Price: 1075517.000000     Price change: 0.490004% 
UnitedHealth Group - Price: 1319644.875000     Price change: -0.979999% 
JPMorgan Chase - Price: 981828.500000     Price change: 2.110001% 
McDonalds - Price: 3635625.500000     Price change: -0.169998% 
Coca-Cola - Price: 1316605.625000     Price change: 2.580003% 
Microsoft - Price: 988298.562500     Price change: 1.199998% 
AT&T - Price: 1446041.000000     Price change: 0.620003% 
Day 978: 
ExxonMobil - Price: 1355415.875000     Price change: 0.180001% 
Shermin-Williams - Price: 1120940.250000     Price change: 0.520001% 
Boeing - Price: 369430.750000     Price change: 0.290000% 
Duke Energy - Price: 1093155.500000     Price change: 1.640002% 
UnitedHealth Group - Price: 1348281.125000     Price change: 2.169997% 
JPMorgan Chase - Price: 980748.500000     Price change: -0.109999% 
McDonalds - Price: 3649804.500000     Price change: 0.390002% 
Coca-Cola - Price: 1320160.500000     Price change: 0.270003% 
Microsoft - Price: 989188.000000     Price change: 0.089997% 
AT&T - Price: 1457753.875000     Price change: 0.809996% 
Day 979: 
ExxonMobil - Price: 1355551.375000     Price change: 0.009997% 
Shermin-Williams - Price: 1159724.750000     Price change: 3.459997% 
Boeing - Price: 380439.781250     Price change: 2.979999% 
Duke Energy - Price: 1135569.875000     Price change: 3.879995% 
UnitedHealth Group - Price: 1389943.000000     Price change: 3.089999% 
JPMorgan Chase - Price: 990261.750000     Price change: 0.969999% 
McDonalds - Price: 3710391.250000     Price change: 1.660000% 
Coca-Cola - Price: 1334682.250000     Price change: 1.099999% 
Microsoft - Price: 1006993.375000     Price change: 1.799999% 
AT&T - Price: 1455421.500000     Price change: -0.159998% 
Day 980: 
ExxonMobil - Price: 1387271.250000     Price change: 2.339998% 
Shermin-Williams - Price: 1149287.250000     Price change: -0.899998% 
Boeing - Price: 385803.968750     Price change: 1.409996% 
Duke Energy - Price: 1128188.625000     Price change: -0.650004% 
UnitedHealth Group - Price: 1434004.250000     Price change: 3.170004% 
JPMorgan Chase - Price: 1001946.812500     Price change: 1.179997% 
McDonalds - Price: 3678110.750000     Price change: -0.870003% 
Coca-Cola - Price: 1328542.750000     Price change: -0.459997% 
Microsoft - Price: 1019178.000000     Price change: 1.210001% 
AT&T - Price: 1518150.125000     Price change: 4.309997% 
Day 981: 
ExxonMobil - Price: 1393514.000000     Price change: 0.450002% 
